Timestamp,Average Water Speed,Average Water Direction,Chlorophyll,Temperature,Dissolved Oxygen,Dissolved Oxygen (%Saturation),pH,Salinity,Specific Conductance,Turbidity
2023-08-04 23:00:00,4.834,73.484,1.621,20.018,7.472,101.175,8.176,35.215,53.262,2.068
2023-08-04 23:00:00,1.26,156.755,1.62,20.001,7.43,100.571,8.171,35.207,53.252,2.03
2023-08-04 23:00:00,3.397,244.637,1.635,19.986,7.429,100.538,8.171,35.208,53.253,1.944
2023-08-04 23:00:00,1.596,100.271,1.935,19.834,7.43,100.293,8.158,35.255,53.315,2.124
2023-08-04 23:30:00,2.544,106.424,1.959,19.986,7.455,100.884,8.175,35.209,53.254,1.994
2023-08-04 23:30:00,0.76,281.754,1.761,19.983,7.419,100.398,8.171,35.211,53.257,1.973
2023-08-04 23:30:00,6.622,141.844,2.103,19.829,7.435,100.354,8.158,35.259,53.321,1.95
2023-08-05 00:00:00,9.138,52.005,1.443,19.822,7.459,100.667,8.159,35.271,53.337,2.033
2023-08-05 00:30:00,2.982,93.117,1.433,19.804,7.446,100.471,8.166,35.273,53.339,1.995
2023-08-05 01:00:00,9.851,53.062,1.499,19.77,7.454,100.515,8.168,35.283,53.353,1.973
2023-08-05 01:30:00,3.37,318.489,1.083,19.741,7.447,100.371,8.167,35.29,53.362,2.014
2023-08-05 02:00:00,0.283,324.385,1.001,19.712,7.426,100.038,8.17,35.292,53.365,1.845
2023-08-05 02:30:00,4.989,166.41,1.435,19.711,7.404,99.745,8.169,35.29,53.363,1.861
2023-08-05 03:00:00,1.965,6.226,1.176,19.703,7.198,96.958,8.17,35.293,53.366,2.397
2023-08-05 03:30:00,0.647,266.369,1.287,19.701,7.204,97.023,8.174,35.284,53.355,2.34
2023-08-05 04:00:00,8.005,219.721,1.421,19.652,4.89,65.794,8.166,35.272,53.338,3.375
2023-08-05 04:30:00,4.907,282.524,1.286,19.634,6.78,91.198,8.168,35.276,53.343,2.213
2023-08-05 05:00:00,4.118,139.344,1.888,19.59,7.145,96.02,8.169,35.271,53.336,2.074
2023-08-05 05:30:00,2.691,331.264,1.427,19.585,6.646,89.32,8.168,35.267,53.331,2.498
2023-08-05 06:00:00,6.831,336.657,1.953,19.555,7.301,98.061,8.161,35.271,53.336,1.689
2023-08-05 06:30:00,4.434,312.831,2.47,19.539,7.022,94.291,8.164,35.278,53.346,3.742
2023-08-05 07:00:00,5.132,82.729,2.042,19.371,6.942,92.879,8.166,35.203,53.245,2.154
2023-08-05 07:30:00,0.611,180.177,1.865,19.367,7.276,97.333,8.162,35.166,53.195,1.628
2023-08-05 08:00:00,7.217,352.949,1.458,19.444,7.261,97.283,8.162,35.205,53.247,1.899
2023-08-05 08:30:00,7.251,66.444,1.082,19.451,7.221,96.735,8.163,35.154,53.178,1.756
2023-08-05 09:00:00,4.285,90.654,1.083,19.534,7.222,96.918,8.159,35.204,53.247,1.935
2023-08-05 09:30:00,7.336,50.886,0.934,19.611,7.257,97.568,8.155,35.271,53.336,2.145
2023-08-05 10:00:00,6.358,51.77,1.022,19.623,7.287,97.997,8.153,35.269,53.334,2.298
2023-08-05 10:30:00,4.711,112.498,0.694,19.663,7.332,98.669,8.155,35.272,53.338,2.195
2023-08-05 11:00:00,6.004,2.965,0.639,19.81,7.457,100.631,8.155,35.277,53.345,1.988
2023-08-05 11:30:00,6.517,346.368,0.926,19.849,7.451,100.613,8.155,35.268,53.334,2.014
2023-08-05 12:00:00,3.995,28.761,0.806,19.913,7.502,101.416,8.159,35.265,53.329,1.717
2023-08-05 12:30:00,6.111,301.57,0.453,20.007,7.56,102.372,8.158,35.248,53.307,1.684
2023-08-05 13:00:00,4.43,267.864,0.606,20.21,7.658,104.095,8.162,35.274,53.342,1.824
2023-08-05 13:30:00,5.292,251.544,0.548,20.368,7.717,105.206,8.164,35.276,53.346,1.876
2023-08-05 14:00:00,4.609,324.484,0.77,20.415,7.741,105.618,8.163,35.275,53.345,1.836
2023-08-05 14:30:00,4.416,333.348,1.252,20.439,7.7725,106.0875,8.165,35.266,53.3335,1.7365
